person_id,diplomat_id,family_name,name,patronymic,wiki_url
1721812,43,ВОЛЫНКИН,ИВАН,КИРИЛЛОВИЧ,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D1%8B%D0%BD%D0%BA%D0%B8%D0%BD,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
1722292,44,ВОРОБЬЕВА,ЛЮДМИЛА,ГЕОРГИЕВНА,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%B1%D1%8C%D0%B5%D0%B2%D0%B0,_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0"
1722354,384,ВОРОПАЕВ,ВИКТОР,СЕРГЕЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BF%D0%B0%D0%B5%D0%B2,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
1722033,388,ГАВРИЛОВ,КОНСТАНТИН,ЮРЬЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B2%D1%80%D0%B8%D0%BB%D0%BE%D0%B2,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
834729,46,ГАЛУЗИН,МИХАИЛ,ЮРЬЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%BB%D1%83%D0%B7%D0%B8%D0%BD,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
834286,47,ГАНЖА,СЕРГЕЙ,ПАВЛОВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%BD%D0%B6%D0%B0,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
835919,224,ГАНИЧ,ДАНИЛА,ВИКТОРОВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%BD%D0%B8%D1%87,_%D0%94%D0%B0%D0%BD%D0%B8%D0%BB%D0%B0_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
834907,48,ГАРМОНИН,СЕРГЕЙ,ВИКТОРОВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D0%BC%D0%BE%D0%BD%D0%B8%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
11517,49,ГАТИЛОВ,ГЕННАДИЙ,МИХАЙЛОВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%82%D0%B8%D0%BB%D0%BE%D0%B2,_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
834086,50,ГОЛОВАНОВ,МИХАИЛ,АЛЕКСЕЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
