person_id,declarator_id
Q140121967,1721834
Q140121968,1722383
Q140121969,839404
Q140121970,1722384
Q140121971,1722046
Q140121972,1721836
Q140121973,1722386
Q140121974,1722387
Q140121975,845083
Q140121976,1722047
Q140121977,1721837
Q140121978,1722388
Q140121979,1722389
Q140121980,1722390
Q140121981,580836
Q140121982,1722391
Q140121985,1722392
Q140121986,1722393
Q140121987,1722394
Q140121988,1722395
Q140121989,1722396
Q140121990,1722397
Q140121991,840832
Q140121992,1722398
Q140121993,1722399
Q140121994,1721840
Q140121995,1721842
Q140121996,1721843
Q140121997,1722400
Q140121998,1722401
Q140121999,1721844
Q140122000,1722402
Q140122001,1722048
Q140122002,1722403
Q140122003,1721846
Q140122004,1721847
Q140122005,1722404
Q140122006,1721849
Q140122007,1721850
Q140122008,1722405
Q140122009,1722406
Q140122010,1721851
Q140122011,1721852
Q140122012,1721854
Q140122013,1721855
Q140122014,1722407
Q140122015,1722408
Q140122016,1721857
Q140122017,1722409
Q140122018,1722410
Q140122019,1722411
Q140122020,1722412
Q140122021,1721859
Q140122022,1722413
Q140122023,1721861
Q140122024,1722414
Q140122025,1722415
Q140122026,1721862
Q140122027,1722416
Q140122028,1721863
Q140122029,1721864
Q140122030,1722417
Q140122031,1722053
Q140122032,1722052
Q140122033,1722054
Q140122034,1722418
Q140122035,1721870
Q140122036,1721871
Q140122037,1722419
Q140122038,1722420
Q140122039,1721873
Q140122040,1722421
Q140122041,1722055
Q140122042,1722422
Q140122043,1721875
Q140122044,1722424
Q140122045,1722056
Q140122046,1722425
Q140122047,1722427
Q140122048,1721880
Q140122049,1721881
Q140122051,1722428
Q140122052,1721883
Q140122053,1722429
Q140122054,1722430
Q140122055,1722431
Q140122056,1722432
Q140122057,1722433
Q140122058,1722434
Q140122059,1722435
Q140122060,1722057
Q140122061,1721888
Q140122062,1722436
Q140122063,1721889
Q140122064,1721890
Q140122065,1722437
Q140122066,1722438
Q140122067,1721892
Q140122068,1722439
Q140122069,1721893
Q140122070,1722440
Q140122071,1722441
Q140122072,1721894
Q140122073,1722442
Q140122074,1722443
Q140122075,1722444
Q140122076,842617
Q140122077,1721896
Q140122078,1721897
Q140122079,1722445
Q140122080,1721898
Q140122081,1722446
Q140122082,1722059
Q140122083,1722061
Q140122084,1722447
Q140122085,1722062
Q140122086,1722064
Q140122087,1722448
Q140122088,1722449
Q140122089,1721903
Q140122090,1722450
Q140122091,1721904
Q140122092,1722452
Q140122093,1722453
Q140122094,1721908
Q140122095,1722455
Q140122096,1722456
Q140122097,1721910
Q140122098,1721911
Q140122099,1722457
Q140122100,1722458
Q140122101,1722459
Q140122102,1721914
Q140122103,1722460
Q140122104,1721915
Q140122105,1721916
Q140122106,1722461
Q140122107,1721917
Q140122108,1721918
Q140122109,1722462
Q140122110,1722068
Q140122111,1721919
Q140122112,1721920
Q140122113,1721921
Q140122114,1721922
Q140122116,1722463
Q140122119,1722464
Q140122120,1722070
Q140122121,1722071
Q140122122,1721924
Q140122123,1722465
Q140122124,1721925
Q140122125,1722466
Q140122126,1721926
Q140122127,1722467
Q140122128,1722468
Q140122129,1722470
Q140122130,1722471
Q140122131,1721928
Q140122132,1722472
Q140122133,1722473
Q140122134,1721931
Q140122135,1722475
Q140122136,1722476
Q140122137,1721933
Q140122138,1721934
Q140122139,1721935
Q140122140,1721936
Q140122141,1721937
Q140122142,1574200
Q140122143,1722477
Q140122144,836752
Q140122145,1721940
Q140122146,1722478
Q140122147,1721941
Q140122148,1721942
Q140122149,1721943
Q140122150,1721945
Q140122151,1722479
Q140122152,1721946
Q140122153,1722481
Q140122154,1721947
Q140122155,1722073
Q140122156,1722482
Q140122157,1722483
Q140122158,1721948
Q140122160,1721949
Q140122161,1721950
Q140122163,1722484
Q140122164,1722485
Q140122165,836805
Q140122166,1721953
Q140122167,1722486
Q140122168,1721954
Q140122169,1722487
Q140122170,1697121
Q140122171,1721955
Q140122172,1722488
Q140122173,1721957
Q140122174,1722489
Q140122175,1721958
Q140122176,1721959
Q140122177,1721960
Q140122178,1722490
Q140122179,1722491
Q140122180,1722492
Q140122181,1722493
Q140122182,1722494
Q140122183,1721964
